GPU,Score,MSRP,GPUClock,VRAMClock,SP,TMU,ROP,VRAM,Memory Type,NM,Transistors,Year,Generation
RTX 5090,14235,1999,2407,28000,21760,680,192,32768,GDDR7,4,92.2,2025,50
RTX 5080,8532,999,2617,30000,10752,336,128,16384,GDDR7,4,45.6,2025,50
RTX 5070 Ti,6474,749,2475,28000,8960,280,128,16384,GDDR7,4,45.6,2025,50
RTX 5070,4991,549,2520,28000,6144,192,64,12288,GDDR7,4,31,2025,50
RTX 4090,9221,1599,2520,21200,16384,512,176,24576,GDDR6X,4,76.3,2022,40
RTX 4080 S,6599,999,2550,23000,10240,320,112,16384,GDDR6X,4,45.9,2024,40
RTX 4080,6562,1199,2505,23000,9728,304,112,16384,GDDR6X,4,45.9,2022,40
RTX 4070 Ti S,5567,799,2610,21000,8448,264,96,16384,GDDR6X,4,45.9,2024,40
RTX 4070 Ti,5023,799,2610,21000,7680,240,80,12228,GDDR6X,4,35.8,2023,40
RTX 4070 S,4625,599,2475,21000,7168,224,80,12228,GDDR6X,4,35.8,2024,40
RTX 4070,3853,599,2475,21000,5888,184,64,12228,GDDR6X,4,35.8,2023,40
RTX 4060 Ti,2905,399,2535,18000,4352,136,64,8192,GDDR6,4,22.9,2023,40
RTX 4060,2301,299,2460,17000,3072,96,64,8192,GDDR6,4,18.9,2023,40
RTX 3090 Ti,5742,1999,1860,21000,10496,336,112,24576,GDDR6X,8,28,2022,30
RTX 3090,5117,1499,1695,19500,10496,336,112,24576,GDDR6X,8,28,2020,30
RTX 3080 Ti,5076,1199,1665,19000,10240,320,112,12288,GDDR6X,8,28,2021,30
RTX 3080,4417,699,1710,19000,8704,272,96,10240,GDDR6X,8,28,2020,30
RTX 3070 Ti,3477,599,1770,19000,6144,192,96,8192,GDDR6X,8,17.4,2021,30
RTX 3070,3162,499,1725,14000,5888,184,96,8192,GDDR6,8,17.4,2020,30
RTX 3060 Ti,2669,399,1665,14000,4864,152,80,8192,GDDR6,8,17.4,2020,30
RTX 3060,1961,329,1777,15000,3584,112,48,12288,GDDR6,8,13.3,2021,30
RTX 3050,1329,249,1777,14000,2560,80,32,8192,GDDR6,8,13.3,2022,30
Titan RTX,3799,2499,1770,14000,4608,288,96,24576,GDDR6,12,18.4,2018,20
RTX 2080 Ti,3539,999,1545,14000,4352,272,88,11264,GDDR6,12,18.4,2018,20
RTX 2080 S,2755,699,1815,15500,3072,192,64,8192,GDDR6,12,13.6,2019,20
RTX 2080,2600,699,1710,14000,2944,184,64,8192,GDDR6,12,13.6,2018,20
RTX 2070 S,2416,499,1770,14000,2560,160,64,8192,GDDR6,12,13.6,2019,20
RTX 2070,2107,499,1620,14000,2304,144,64,8192,GDDR6,12,10.8,2018,20
RTX 2060 S,2016,399,1650,14000,2176,136,64,8192,GDDR6,12,10.8,2019,20
RTX 2060,1726,349,1680,14000,1920,120,48,6144,GDDR6,12,10.8,2019,20
